"TestRunID","Item","Value","Weight","TagType"
"RandomGoods","apish-1","Country:china",1,"Country"
"RandomGoods","are-1","Country:china",1,"Country"
"RandomGoods","belly-up-1","Country:china",1,"Country"
"RandomGoods","booze-up-1","Country:china",1,"Country"
"RandomGoods","cancridae-1","Country:china",1,"Country"
"RandomGoods","cetaceous-1","Country:china",1,"Country"
"RandomGoods","cloven-hoofed-1","Country:china",1,"Country"
"RandomGoods","codling-1","Country:china",1,"Country"
"RandomGoods","cushiony-1","Country:china",1,"Country"
"RandomGoods","defeat-1","Country:china",1,"Country"
"RandomGoods","dermatomycosis-1","Country:china",1,"Country"
"RandomGoods","desirability-1","Country:china",1,"Country"
"RandomGoods","ecology-1","Country:china",1,"Country"
"RandomGoods","forty-eight-1","Country:china",1,"Country"
"RandomGoods","glue-1","Country:china",1,"Country"
"RandomGoods","headquarter-1","Country:china",1,"Country"
"RandomGoods","herbicide-1","Country:china",1,"Country"
"RandomGoods","hoo-ha-1","Country:china",1,"Country"
"RandomGoods","houseful-1","Country:china",1,"Country"
"RandomGoods","inconsiderate-1","Country:china",1,"Country"
"RandomGoods","laxness-1","Country:china",1,"Country"
"RandomGoods","lummox-1","Country:china",1,"Country"
"RandomGoods","maigre-1","Country:china",1,"Country"
"RandomGoods","maltreater-1","Country:china",1,"Country"
"RandomGoods","materialistically-1","Country:china",1,"Country"
"RandomGoods","moult-1","Country:china",1,"Country"
"RandomGoods","nidulariaceae-1","Country:china",1,"Country"
"RandomGoods","nyamuragira-1","Country:china",1,"Country"
"RandomGoods","prostatectomy-1","Country:china",1,"Country"
"RandomGoods","psychopharmacological-1","Country:china",1,"Country"
"RandomGoods","saute-1","Country:china",1,"Country"
"RandomGoods","tailored-1","Country:china",1,"Country"
"RandomGoods","toyota-1","Country:china",1,"Country"
"RandomGoods","triennial-1","Country:china",1,"Country"
"RandomGoods","unblock-1","Country:china",1,"Country"
"RandomGoods","unfilled-1","Country:china",1,"Country"
"RandomGoods","vaudois-1","Country:china",1,"Country"
"RandomGoods","verboten-1","Country:china",1,"Country"
"RandomGoods","burmese-1","Country:denmark",1,"Country"
"RandomGoods","charles-1","Country:denmark",1,"Country"
"RandomGoods","cheaply-1","Country:denmark",1,"Country"
"RandomGoods","closefisted-1","Country:denmark",1,"Country"
"RandomGoods","columba-1","Country:denmark",1,"Country"
"RandomGoods","condom-1","Country:denmark",1,"Country"
"RandomGoods","definable-1","Country:denmark",1,"Country"
"RandomGoods","falteringly-1","Country:denmark",1,"Country"
"RandomGoods","founding-1","Country:denmark",1,"Country"
"RandomGoods","futuristics-1","Country:denmark",1,"Country"
"RandomGoods","godliness-1","Country:denmark",1,"Country"
"RandomGoods","greenbelt-1","Country:denmark",1,"Country"
"RandomGoods","hospitalisation-1","Country:denmark",1,"Country"
"RandomGoods","infiltration-1","Country:denmark",1,"Country"
"RandomGoods","ingress-1","Country:denmark",1,"Country"
"RandomGoods","intradepartmental-1","Country:denmark",1,"Country"
"RandomGoods","knockdown-1","Country:denmark",1,"Country"
"RandomGoods","leaner-1","Country:denmark",1,"Country"
"RandomGoods","leptodactylus-1","Country:denmark",1,"Country"
"RandomGoods","lodge-1","Country:denmark",1,"Country"
"RandomGoods","macrencephaly-1","Country:denmark",1,"Country"
"RandomGoods","mangle-1","Country:denmark",1,"Country"
"RandomGoods","maria-1","Country:denmark",1,"Country"
"RandomGoods","namtaru-1","Country:denmark",1,"Country"
"RandomGoods","orthopnea-1","Country:denmark",1,"Country"
"RandomGoods","overgeneralise-1","Country:denmark",1,"Country"
"RandomGoods","oxidation-reduction-1","Country:denmark",1,"Country"
"RandomGoods","prosecution-1","Country:denmark",1,"Country"
"RandomGoods","pyrethrum-1","Country:denmark",1,"Country"
"RandomGoods","rani-1","Country:denmark",1,"Country"
"RandomGoods","reniform-1","Country:denmark",1,"Country"
"RandomGoods","selznick-1","Country:denmark",1,"Country"
"RandomGoods","slap-up-1","Country:denmark",1,"Country"
"RandomGoods","sleepyhead-1","Country:denmark",1,"Country"
"RandomGoods","smallholding-1","Country:denmark",1,"Country"
"RandomGoods","vaporiser-1","Country:denmark",1,"Country"
"RandomGoods","wellhead-1","Country:denmark",1,"Country"
"RandomGoods","aalto-1","Country:germany",1,"Country"
"RandomGoods","addle-head-1","Country:germany",1,"Country"
"RandomGoods","barbital-1","Country:germany",1,"Country"
"RandomGoods","brigand-1","Country:germany",1,"Country"
"RandomGoods","certitude-1","Country:germany",1,"Country"
"RandomGoods","charley-horse-1","Country:germany",1,"Country"
"RandomGoods","chlorobenzylidenemalononitrile-1","Country:germany",1,"Country"
"RandomGoods","chrysolite-1","Country:germany",1,"Country"
"RandomGoods","clichy-la-garenne-1","Country:germany",1,"Country"
"RandomGoods","cryptanalyst-1","Country:germany",1,"Country"
"RandomGoods","dealfish-1","Country:germany",1,"Country"
"RandomGoods","depigmentation-1","Country:germany",1,"Country"
"RandomGoods","diametrical-1","Country:germany",1,"Country"
"RandomGoods","drained-1","Country:germany",1,"Country"
"RandomGoods","entrepreneur-1","Country:germany",1,"Country"
