"Word","Stem"
"academy","academy"
"acquired","acquired"
"albino","albino"
"amicably","amicably"
"amused","amused"
"angrily","angrily"
"aquanaut","aquanaut"
"ashy","ashy"
"asymptote","asymptote"
"automatic","automatic"
"aware","aware"
"awry","awry"
"beaked","beaked"
"bedimmed","bedimmed"
"belief","belief"
"beside","beside"
"beta","beta"
"blunt","blunt"
"bobwhite","bobwhite"
"bodiless","bodiless"
"bootlegger","bootlegger"
"brainwave","brainwave"
"bridesmaid","bridesmaid"
"bystander","bystander"
"carbonyl","carbonyl"
"cars","cars"
"china","china"
"chopped","chopped"
"circlet","circlet"
"cityscape","cityscape"
"commingle","commingle"
"commissioner","commissioner"
"compositional","compositional"
"consuming","consuming"
"contrail","contrail"
"cool","cool"
"countermeasure","countermeasure"
"courtship","courtship"
"cracked","cracked"
"creche","creche"
"creditor","creditor"
"croissant","croissant"
"cutlet","cutlet"
"cynical","cynical"
"daub","daub"
"deaden","deaden"
"deathly","deathly"
"defectiveness","defectiveness"
"denmark","denmark"
"dessertspoonful","dessertspoonful"
"devastate","devastate"
"disapprove","disapprove"
"disbelieving","disbelieving"
"dishware","dishware"
"disrupt","disrupt"
"dog","dog"
"duration","duration"
"earpiece","earpiece"
"electrocution","electrocution"
"eradicator","eradicator"
"ethnographer","ethnographer"
"expat","expat"
"farmland","farmland"
"fascism","fascism"
"fiberboard","fiberboard"
"financier","financier"
"formic","formic"
"frolic","frolic"
"frostbitten","frostbitten"
"fume","fume"
"fungicide","fungicide"
"gastronomical","gastronomical"
"gawkiness","gawkiness"
"gelatin","gelatin"
"germany","germany"
"gesture","gesture"
"glorification","glorification"
"gram","gram"
"greased","greased"
"guardroom","guardroom"
"gunpoint","gunpoint"
"ham","ham"
"harshness","harshness"
"high","high"
"highlight","highlight"
"historically","historically"
"hollyhock","hollyhock"
"homespun","homespun"
"hoodoo","hoodoo"
"humility","humility"
"hysterical","hysterical"
"iffy","iffy"
"ignoramus","ignoramus"
"immure","immure"
"impractical","impractical"
"imprecise","imprecise"
"improvable","improvable"
"incomplete","incomplete"
"inconsistently","inconsistently"
"innovate","innovate"
"island","island"
"jeering","jeering"
"jimsonweed","jimsonweed"
"lawful","lawful"
"licorice","licorice"
"lieutenancy","lieutenancy"
"limey","limey"
"living","living"
"loosen","loosen"
"machines","machines"
"mainly","mainly"
"manganese","manganese"
"mansion","mansion"
"masculine","masculine"
"meditate","meditate"
"melancholic","melancholic"
"memorably","memorably"
"menopause","menopause"
"merging","merging"
"metalworking","metalworking"
"milk","milk"
"minded","minded"
"monocotyledonous","monocotyledonous"
"mortar","mortar"
"motivational","motivational"
"neglectful","neglectful"
"nightgown","nightgown"
"nonappearance","nonappearance"
"nonconductor","nonconductor"
"noted","noted"
"nubbin","nubbin"
"obsession","obsession"
"organically","organically"
"palms","palms"
"paralytic","paralytic"
"paraprofessional","paraprofessional"
"paymaster","paymaster"
"perambulate","perambulate"
"percussionist","percussionist"
"pictograph","pictograph"
"planetarium","planetarium"
"polemical","polemical"
"polity","polity"
"popcorn","popcorn"
"poster","poster"
"predominance","predominance"
"printmaking","printmaking"
"probabilistic","probabilistic"
"protrusion","protrusion"
"provincial","provincial"
"punctually","punctually"
"puritanically","puritanically"
"quarterfinal","quarterfinal"
"quiff","quiff"
"quota","quota"
"racy","racy"
"radioactivity","radioactivity"
"rededicate","rededicate"
"refine","refine"
"relations","relations"
"resin","resin"
"retiring","retiring"
"retort","retort"
"richly","richly"
"rigger","rigger"
"rigging","rigging"
"rockbound","rockbound"
"rumbustious","rumbustious"
"sabbatical","sabbatical"
"scriptural","scriptural"
"seascape","seascape"
"shameless","shameless"
"shorebird","shorebird"
"silty","silty"
"simply","simply"
"singsong","singsong"
"skinniness","skinniness"
"sliminess","sliminess"
"slothfulness","slothfulness"
"soothe","soothe"
"spain","spain"
"splinter","splinter"
"spud","spud"
"squeezing","squeezing"
"subnormal","subnormal"
"subsidence","subsidence"
"surrey","surrey"
"theological","theological"
"thoracic","thoracic"
"tiara","tiara"
"tingling","tingling"
"toxicologist","toxicologist"
"transfigure","transfigure"
"triangular","triangular"
"typicality","typicality"
"unappealing","unappealing"
"undecorated","undecorated"
"underproduction","underproduction"
"understanding","understanding"
"undone","undone"
"unfriendliness","unfriendliness"
"unilateral","unilateral"
"unkindly","unkindly"
"unsolicited","unsolicited"
"urethritis","urethritis"
"usa","usa"
"vermin","vermin"
"vestment","vestment"
"vitality","vitality"
"washerwoman","washerwoman"
"washing","washing"
"zealot","zealot"
