"Word","Stem"
"000","000"
"100","100"
"1000","1000"
"101","101"
"12/16/1902","12/16/1902"
"141","141"
"1770","1770"
"1789","1789"
"1850","1850"
"1860","1860"
"1861","1861"
"1867","1867"
"1869","1869"
"1882","1882"
"1888","1888"
"1910","1910"
"1911","1911"
"1935","1935"
"1937","1937"
"1947","1947"
"1948","1948"
"1949","1949"
"1950","1950"
"1955","1955"
"1959","1959"
"1960","1960"
"1961","1961"
"1962","1962"
"1963","1963"
"1964","1964"
"1967","1967"
"1968","1968"
"1969","1969"
"1970","1970"
"1971","1971"
"1972","1972"
"1973","1973"
"1974","1974"
"1975","1975"
"1978","1978"
"1979","1979"
"1980","1980"
"1983","1983"
"1984","1984"
"1986","1986"
"1987","1987"
"1990","1990"
"1991","1991"
"1993","1993"
"1999","1999"
"2000","2000"
"2001","2001"
"2003","2003"
"2005","2005"
"2006","2006"
"2009","2009"
"2010","2010"
"205","205"
"209","209"
"211","211"
"24th","24th"
"25438","25438"
"258","258"
"275","275"
"28th","28th"
"2nd","2nd"
"3000","3000"
"314","314"
"3/4/1977","3/4/1977"
"365","365"
"389","389"
"462","462"
"480","480"
"4th","4th"
"500","500"
"506","506"
"863","863"
"absorption","absorption"
"accelerated","accelerated"
"accidental","accidental"
"according","according"
"account","account"
"accumulations","accumulations"
"accurately","accurately"
"acid","acid"
"acre","acre"
"acute","acute"
"addition","addition"
"adjusted","adjusted"
"adjuvant","adjuvant"
"admitted","admitted"
"adrenal","adrenal"
"adult","adult"
"adults","adults"
"advanced","advanced"
"age","age"
"aged","aged"
"aggregate","aggregate"
"aids","aids"
"aim","aim"
"aircraft","aircraft"
"airline","airline"
"airlines","airlines"
"airplane","airplane"
"allo","allo"
"allogeneic","allogeneic"
"alps","alps"
"alternative","alternative"
"amboseli","amboseli"
"america","america"
"american","american"
"ammonia","ammonia"
"amount","amount"
"analysis","analysis"
"anatomical","anatomical"
"angeles","angeles"
"animal","animal"
"animals","animals"
"annual","annual"
"anorexia","anorexia"
"anscombe","anscombe"
"appearance","appearance"
"approximately","approximately"
"april","april"
"areas","areas"
"arrests","arrests"
"arrived","arrived"
"ascorbic","ascorbic"
"ash","ash"
"assault","assault"
"assay","assay"
"assess","assess"
"associated","associated"
"assumed","assumed"
"asthma","asthma"
"attacks","attacks"
"attitude","attitude"
"australia","australia"
"australian","australian"
"author","author"
"authorship","authorship"
"auto","auto"
"autologous","autologous"
"average","average"
"averaged","averaged"
"averages","averages"
"baboon","baboon"
"baboons","baboons"
"bacteria","bacteria"
"ball","ball"
"bank","bank"
"barometric","barometric"
"barrels","barrels"
"batch","batch"
"batchchemicalprocessyields","batchchemicalprocessyields"
"bay","bay"
"bearings","bearings"
"beaver","beaver"
"belgian","belgian"
"belgium","belgium"
"belts","belts"
"benefit","benefit"
"billion","billion"
"biochemical","biochemical"
"biopsy","biopsy"
"birth","birth"
"black","black"
"blood","blood"
"bod","bod"
"body","body"
"bofors","bofors"
"boiling","boiling"
"bone","bone"
"border","border"
"borealis","borealis"
"boston","boston"
"bounding","bounding"
"box","box"
"brain","brain"
"break","break"
"breaks","breaks"
"breast","breast"
"britain","britain"
"britan","britan"
"bronchitis","bronchitis"
"brownlee","brownlee"
"buffalo","buffalo"
"business","business"
"cabbage","cabbage"
"cabbages","cabbages"
"california","california"
"calls","calls"
"campus","campus"
"campuses","campuses"
"canadensis","canadensis"
"canadian","canadian"
"cancer","cancer"
"capita","capita"
"car","car"
"carbon","carbon"
"cars","cars"
"case","case"
"castor","castor"
"category","category"
"cats","cats"
"cement","cement"
"cements","cements"
"censored","censored"
"censoring","censoring"
"center","center"
"central","central"
"ceramic","ceramic"
"ceramics","ceramics"
"change","change"
"changes","changes"
"channing","channing"
"characteristics","characteristics"
"chart","chart"
"chatterjee","chatterjee"
"chemical","chemical"
"chemicalprocessconcentrations","chemicalprocessconcentrations"
"chemicalprocesstemperatures","chemicalprocesstemperatures"
"chemicalprocessviscosityreadings","chemicalprocessviscosityreadings"
"chemotherapy","chemotherapy"
"cherry","cherry"
"chicken","chicken"
"chickens","chickens"
"child","child"
"children","children"
"chloride","chloride"
"choral","choral"
"chosen","chosen"
"chromatropic","chromatropic"
"circumferences","circumferences"
"city","city"
"claimed","claimed"
"classification","classification"
"clinical","clinical"
"closing","closing"
"clouds","clouds"
"codded","codded"
"collected","collected"
"collection","collection"
"commercial","commercial"
"common","common"
"company","company"
"compare","compare"
"compared","compared"
"comparing","comparing"
"comparison","comparison"
"compiled","compiled"
"composite","composite"
"compulsory","compulsory"
"computer","computer"
"concentrated","concentrated"
"concentration","concentration"
"concentrations","concentrations"
"conducted","conducted"
"conductivity","conductivity"
"conic","conic"
"connecticut","connecticut"
"consecutive","consecutive"
"considered","considered"
"consisting","consisting"
"consists","consists"
"contain","contain"
"containing","containing"
"contains","contains"
"contaminated","contaminated"
"content","content"
"control","control"
"coordinates","coordinates"
"copper","copper"
"corona","corona"
